id,item,domein,subdomein,type,frequentie,eenheid_doel,belang_1_5,effort,bewijskracht,toelichting
H001,Slaap 7-9 uur,Slaap & Herstel,Hoeveel & wanneer,Habit,Dagelijks,uren (numeriek),5,Gemiddeld,hoog (meerdere bronnen),Fundament - beïnvloedt alle andere domeinen.
H002,"Vaste, vroege bedtijd aanhouden (bv. 21u30)",Slaap & Herstel,Hoeveel & wanneer,Habit,Dagelijks,checkbox + tijdstip,4,Gemiddeld,2 bronnen,
H003,Telefoon weg/opladen buiten slaapkamer vanaf vast avonduur,Slaap & Herstel,Avondroutine,Habit,Dagelijks,checkbox,4,Laag,3 bronnen,
H004,Stop met eten 2-3u voor bedtijd,Slaap & Herstel,Avondroutine,Habit,Dagelijks,checkbox,3,Gemiddeld,1-2 bronnen,
H005,5 minuten stretchen voor het slapen,Slaap & Herstel,Avondroutine,Habit,Dagelijks,checkbox/timer,2,Laag,1 bron,
H006,Avondjournal: 1 zorg opschrijven + 3 dingen die goed gingen,Slaap & Herstel,Avondroutine,Habit,Dagelijks,checkbox,2,Laag,1 bron,
H007,"Slaapstack innemen (magnesium, evt. L-theanine/glycine)",Slaap & Herstel,Supplementen,Habit,Dagelijks,checkbox,3,Laag,2 bronnen,
H008,"Herstel structureel inplannen (familietijd, alleen-tijd, downtime)",Slaap & Herstel,Herstel breder,Habit,Wekelijks,checkbox,3,Gemiddeld,1 bron,
H009,"Haal je eiwitdoel (~2g/kg lichaamsgewicht, richtwaarde 200g/dag)",Voeding,Eiwit,Habit,Dagelijks,gram (numeriek),5,Gemiddeld,9 bronnen,Best onderbouwde voedingsregel in de collectie.
H010,Eet 35-40g eiwit bij het ontbijt,Voeding,Eiwit,Habit,Dagelijks,gram (numeriek),4,Gemiddeld,2 bronnen,
H011,"Neem dagelijkse basissupplementen (creatine, zink, D3, omega-3, magnesium)",Voeding,Supplementen,Habit,Dagelijks,checkbox,4,Laag,5 bronnen,Creatine-dosis omstreden: 5g (klassiek) vs 10g (1 bron).
H012,Drink 2-4L water per dag,Voeding,Hydratatie,Habit,Dagelijks,liter (numeriek),3,Laag,2 bronnen,
H013,Meal prep-moment inplannen,Voeding,Structuur,Habit,Wekelijks,checkbox,3,Gemiddeld,3 bronnen,
H014,"Eet 80-90% volwaardige, single-ingredient voeding",Voeding,Structuur,Habit,Dagelijks,checkbox/schatting,4,Gemiddeld,2 bronnen,
H015,80/20-regel: week evalueren (80% clean gehaald?),Voeding,Structuur,Habit,Wekelijks,checkbox,3,Laag,2 bronnen,
H016,Max. 0-1 alcoholische dranken per week,Voeding,Alcohol,Habit,Wekelijks,aantal (numeriek),4,Hoog,4 bronnen,
H017,Weeg je eten (bij afvallen als doel),Voeding,Gewichtsverlies,Habit,Dagelijks,checkbox,3,Gemiddeld,1 bron,Alleen relevant als afvallen een actief doel is.
H018,Beperk suiker als huid dof/opgeblazen aanvoelt,Voeding,Huid,Habit,Dagelijks,checkbox,2,Gemiddeld,1 bron,
H019,Train full body 3-4x per week,Training & Beweging,Frequentie,Habit,Wekelijks,aantal sessies,5,Hoog,5+ bronnen,Vermijd zowel 6x/week als <2x/week.
H020,Wandel dagelijks 8.000-10.000 stappen,Training & Beweging,Dagelijks bewegen,Habit,Dagelijks,stappen (numeriek),5,Laag,16 bronnen,Best onderbouwde regel van de hele collectie.
H021,Zet training als eerste in je agenda,Training & Beweging,Frequentie,Habit,Dagelijks,checkbox,3,Laag,1 bron,
H022,Til zwaar: 5-8 reps op hoofdlifts,Training & Beweging,Uitvoering,Habit,Per sessie,checkbox,3,Gemiddeld,2 bronnen,
H023,Pas progressive overload toe (iets meer dan vorige sessie),Training & Beweging,Uitvoering,Habit,Per sessie,checkbox,4,Gemiddeld,3 bronnen,
H024,Houd trainingsvooruitgang bij (reps/gewicht/tijd),Training & Beweging,Uitvoering,Habit,Per sessie,checkbox/log,3,Laag,2 bronnen,
H025,Zone 2 cardio (~90 min/week op gesprekstempo),Training & Beweging,Cardio,Habit,Wekelijks,minuten (numeriek),3,Gemiddeld,2 bronnen,
H026,"Hill sprints (6x30s, 1x/week)",Training & Beweging,Cardio,Habit,Wekelijks,checkbox,2,Hoog,1 bron,
H027,Train onderlichaam evenveel als bovenlichaam,Training & Beweging,Balans,Habit,Wekelijks,checkbox,3,Gemiddeld,1 bron,
H028,Mobiliteitsroutine heup/rug (7-stappen flow),Training & Beweging,Mobiliteit,Habit,Wekelijks,checkbox/timer,3,Gemiddeld,1 bron,
H029,Hip bridges (1 min x3 of 3x8 reps),Training & Beweging,Specifieke oefening,Habit,Wekelijks,checkbox,2,Laag,1 bron,
H030,Fitness-benchmarktest afleggen (bv. 'Test your reps' of 'Cindy'),Training & Beweging,Benchmark,Milestone/eenmalig,Per kwartaal,resultaat loggen,2,Hoog,2 bronnen,"Meetmoment, geen dagelijkse gewoonte."
H031,"Fysieke mijlpaal behalen (sixpack, deadlift 2x bodyweight, 10 pull-ups...)",Training & Beweging,Aspiratie,Milestone/eenmalig,Eenmalig,checkbox per mijlpaal,3,Hoog,1 bron,
H032,"Let bewust op je houding (schouders achter, kin omhoog)","Uiterlijk, Verzorging & Houding",Houding,Habit,Dagelijks,checkbox,4,Laag,8 bronnen,Gratis en meest terugkerend signaal van zelfvertrouwen.
H033,Kapsel onderhouden,"Uiterlijk, Verzorging & Houding",Grooming,Habit,Elke 2-3 weken,checkbox,3,Laag,2 bronnen,
H034,Schoenen schoonmaken,"Uiterlijk, Verzorging & Houding",Grooming,Habit,Wekelijks,checkbox,2,Laag,2 bronnen,
H035,Vaste signatuurgeur dragen,"Uiterlijk, Verzorging & Houding",Grooming,Habit,Dagelijks,checkbox,3,Laag,5 bronnen,
H036,"Skincare-basisroutine (cleanser, moisturizer, SPF)","Uiterlijk, Verzorging & Houding",Skincare,Habit,Dagelijks,checkbox,4,Laag,1 bron,
H037,Vitamine C-serum ('s ochtends),"Uiterlijk, Verzorging & Houding",Skincare,Habit,Dagelijks,checkbox,2,Laag,1 bron,
H038,Retinol ('s avonds),"Uiterlijk, Verzorging & Houding",Skincare,Habit,Dagelijks,checkbox,2,Laag,1 bron,
H039,Huid exfoliëren,"Uiterlijk, Verzorging & Houding",Skincare,Habit,Wekelijks,checkbox (1-2x/week),2,Laag,1 bron,
